STATION,NAME,DAPR,EVAP,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESF,WT03,WT11,Feature 1,DATE
discrete,discrete,discrete,discrete,discrete,continuous,continuous,discrete,continuous,continuous,discrete,discrete,discrete,discrete,discrete,string
,,,,,,,,,,,,,,,meta
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,50.0,15.0,47,,,,,2/12/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,89.0,52.0,82,,,,,8/22/2019
USC00291138,"BOSQUE DEL APACHE, NM US",,,,0.03,0.0,0,101.0,59.0,60,,,,,8/30/2019
USC00298387,"SOCORRO, NM US",,,,0.0,0.0,0,99.0,66.0,69,,,,,8/2/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,,,88.0,55.0,79,,,,,9/10/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.27,0.0,0,67.0,37.0,53,,,,,5/12/2019
USC00291138,"BOSQUE DEL APACHE, NM US",,,,0.0,0.0,0,103.0,69.0,73,,,,,7/29/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,91.0,53.0,85,,,,,8/13/2019
USC00291138,"BOSQUE DEL APACHE, NM US",,,,0.0,0.0,0,100.0,57.0,67,,,,,7/3/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,63.0,16.0,62,,,,,3/5/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,0.0,0.0,,31.0,11.0,,,,,,1/1/2019
USC00291138,"BOSQUE DEL APACHE, NM US",,,,0.0,0.0,0,98.0,65.0,73,,,,,8/6/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,54.0,33.0,54,,,,,3/10/2019
USC00298387,"SOCORRO, NM US",,,,0.0,0.0,0,98.0,69.0,76,,,,,7/28/2019
USC00298387,"SOCORRO, NM US",,,,0.0,0.0,0,99.0,65.0,67,,,,,7/30/2019
USC00298387,"SOCORRO, NM US",,,,0.01,,,77.0,42.0,45,,,,,3/11/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,0.0,0.0,0,48.0,28.0,43,,,,,2/21/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,40.0,17.0,32,,,,,2/7/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,0.0,0.0,,64.0,24.0,,,,,,1/21/2019
USC00298387,"SOCORRO, NM US",,,,0.0,,,76.0,39.0,42,,,,,3/1/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,0.0,0.0,0,80.0,55.0,76,,,,,5/24/2019
USC00291138,"BOSQUE DEL APACHE, NM US",,,,0.0,0.0,0,66.0,29.0,35,,,,,2/4/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,84.0,53.0,81,,,,,9/19/2019
USC00291138,"BOSQUE DEL APACHE, NM US",,,,0.0,0.0,0,99.0,52.0,60,,,,,6/15/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,48.0,8.0,45,,,,,2/8/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,66.0,40.0,64,,,,,3/7/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,56.0,34.0,45,,,,,2/14/2019
USC00291138,"BOSQUE DEL APACHE, NM US",,,,0.0,0.0,0,49.0,27.0,28,,,,,1/10/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,89.0,59.0,82,,,,,8/11/2019
USC00291138,"BOSQUE DEL APACHE, NM US",,,,0.0,0.0,0,59.0,27.0,27,,,,,3/15/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,92.0,54.0,85,,,,,9/4/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,95.0,58.0,81,,,,,7/11/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,82.0,54.0,78,,,,,9/26/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.25,,,66.0,29.0,65,,,,,4/14/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,0.0,0.0,0,68.0,28.0,60,,,,,2/28/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,86.0,52.0,86,,,,,9/3/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,0.0,0.0,0,95.0,62.0,93,,,,,7/28/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,0.0,0.0,0,50.0,29.0,,,,,,2/10/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,0.0,0.0,0,75.0,30.0,69,,,,,3/26/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,78.0,41.0,76,,,,,5/14/2019
USC00291138,"BOSQUE DEL APACHE, NM US",,,,0.0,0.0,0,100.0,54.0,59,,,,,8/25/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,91.0,56.0,89,,,,,7/10/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,66.0,33.0,64,,,,,4/2/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,74.0,42.0,68,,,,,5/23/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,0.0,0.0,0,80.0,50.0,76,,,,,5/30/2019
USC00298387,"SOCORRO, NM US",,,,0.0,0.0,0,83.0,66.0,70,,,,,8/13/2019
USC00291138,"BOSQUE DEL APACHE, NM US",,,,0.0,0.0,0,93.0,61.0,64,,,,,7/24/2019
USC00291138,"BOSQUE DEL APACHE, NM US",,,,0.0,0.0,0,54.0,23.0,35,,,,,1/13/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,0.0,0.0,,54.0,24.0,,,,,,1/22/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,0.0,0.0,0,82.0,56.0,72,,,,,5/17/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,91.0,59.0,87,,,,,7/4/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,0.0,0.0,0,58.0,25.0,50,,,,,3/17/2019
USC00291138,"BOSQUE DEL APACHE, NM US",,,,0.24,0.0,0,63.0,36.0,40,,,,,4/18/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,51.0,19.0,44,,,,,2/9/2019
USC00291138,"BOSQUE DEL APACHE, NM US",,,,0.0,0.0,0,95.0,54.0,60,,,,,6/4/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,0.0,0.0,0,80.0,39.0,75,,,,,5/13/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,0.0,0.0,0,62.0,32.0,,,,,,2/4/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,0.0,0.0,0,99.0,55.0,87,,,,,7/18/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,0.0,0.0,0,66.0,47.0,55,,,,,3/8/2019
USC00291138,"BOSQUE DEL APACHE, NM US",,,,0.0,0.0,0,59.0,18.0,23,,,,,2/25/2019
USC00291138,"BOSQUE DEL APACHE, NM US",,,,0.0,0.0,0,96.0,51.0,61,,,,,6/7/2019
USC00298387,"SOCORRO, NM US",,,,0.0,0.0,0,97.0,59.0,71,,,,,7/9/2019
USC00291138,"BOSQUE DEL APACHE, NM US",,,,0.0,0.0,0,59.0,26.0,33,,,,,3/16/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,0.0,0.0,0,57.0,27.0,50,,,,,3/9/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,0.0,0.0,,56.0,22.0,,,,,,1/28/2019
USC00291138,"BOSQUE DEL APACHE, NM US",,,,0.0,0.0,0,78.0,30.0,32,,,,,3/25/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,50.0,28.0,45,,,,,2/22/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,0.0,0.0,0,44.0,34.0,,,,,,2/11/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,65.0,32.0,62,,,,,4/6/2019
USC00291138,"BOSQUE DEL APACHE, NM US",,,,0.0,0.0,0,51.0,14.0,16,,,,,1/23/2019
USC00291138,"BOSQUE DEL APACHE, NM US",,,,0.0,0.0,0,73.0,27.0,28,,,,,1/22/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,0.0,0.0,0,54.0,30.0,44,,,,,3/31/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,75.0,42.0,73,,,,,3/28/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,0.0,0.0,0,60.0,29.0,,,,,,2/13/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.12,0.0,0,74.0,48.0,70,,,,,6/2/2019
USC00298387,"SOCORRO, NM US",,,,0.31,0.0,0,93.0,64.0,67,,,,,8/8/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,78.0,51.0,76,,,,,4/27/2019
USC00291138,"BOSQUE DEL APACHE, NM US",,,,0.0,0.0,0,72.0,28.0,39,,,,,2/27/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,95.0,55.0,87,,,,,8/20/2019
