STATION,NAME,DAPR,EVAP,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESF,WT03,WT11,Feature 1,DATE
discrete,discrete,discrete,discrete,discrete,continuous,continuous,discrete,continuous,continuous,discrete,discrete,discrete,discrete,discrete,string
,,,,,,,,,,,,,,,meta
US1NMSC0029,"SOCORRO 0.4 NE, NM US",,,,0.0,0.0,,,,,,,,,5/20/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,79.0,41.0,76,,,,,5/31/2019
US1NMSC0046,"SAN ANTONIO 7.4 ESE, NM US",,,,0.0,,,,,,,,,,4/13/2019
USC00291138,"BOSQUE DEL APACHE, NM US",,,,0.0,0.0,0,52.0,9.0,48,,,,,1/6/2019
US1NMSC0046,"SAN ANTONIO 7.4 ESE, NM US",,,,0.0,,,,,,,,,,8/5/2019
US1NMSC0051,"SOCORRO 0.9 N, NM US",,,,0.0,0.0,,,,,,,,,1/26/2019
USC00298387,"SOCORRO, NM US",,,,0.0,0.0,0,98.0,69.0,76,,,,,7/28/2019
USC00291138,"BOSQUE DEL APACHE, NM US",,,,0.0,0.0,0,107.0,67.0,73,,,,,7/22/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,88.0,52.0,81,,,,,6/13/2019
US1NMSC0049,"SAN ANTONIO 0.7 SSW, NM US",,,,0.04,,,,,,0,,,,2/20/2019
US1NMSC0050,"SOCORRO 22.7 SSE, NM US",,,,0.0,,,,,,,,,,8/20/2019
US1NMSC0049,"SAN ANTONIO 0.7 SSW, NM US",,,,0.0,0.0,,,,,,,,,7/4/2019
US1NMSC0014,"SOCORRO 9.9 SSE, NM US",,,,0.0,0.0,,,,,,,,,9/9/2019
US1NMSC0029,"SOCORRO 0.4 NE, NM US",,,,0.0,0.0,,,,,,,,,1/1/2019
US1NMSC0050,"SOCORRO 22.7 SSE, NM US",6,,0,,,,,,,,,,,9/10/2019
US1NMSC0031,"MOUNTAINAIR 16.7 SW, NM US",,,,0.0,0.0,,,,,,,,,2/5/2019
US1NMSC0047,"SOCORRO 1.3 E, NM US",,,,0.0,0.0,,,,,,,,,7/22/2019
US1NMSC0014,"SOCORRO 9.9 SSE, NM US",,,,0.0,0.0,,,,,,,,,8/1/2019
US1NMSC0052,"SOCORRO 19.2 SSE, NM US",,,,0.0,,,,,,,,,,1/16/2019
US1NMSC0047,"SOCORRO 1.3 E, NM US",,,,0.08,,,,,,,,,,7/7/2019
US1NMSC0047,"SOCORRO 1.3 E, NM US",,,,0.0,0.0,,,,,,,,,2/5/2019
US1NMSC0014,"SOCORRO 9.9 SSE, NM US",,,,0.0,0.0,,,,,,,,,6/20/2019
US1NMSC0046,"SAN ANTONIO 7.4 ESE, NM US",,,,0.0,,,,,,,,,,1/15/2019
USC00291138,"BOSQUE DEL APACHE, NM US",,,,0.0,0.0,0,98.0,54.0,57,,,,,8/15/2019
US1NMSC0031,"MOUNTAINAIR 16.7 SW, NM US",,,,0.03,,,,,,,,,,9/20/2019
USC00298387,"SOCORRO, NM US",,,,,0.0,0,,,,,,,,6/19/2019
US1NMSC0029,"SOCORRO 0.4 NE, NM US",,,,0.0,0.0,,,,,,,,,8/23/2019
USC00298387,"SOCORRO, NM US",,,,0.0,0.0,0,99.0,64.0,72,,,,,7/1/2019
US1NMSC0050,"SOCORRO 22.7 SSE, NM US",,,,0.24,,,,,,,,,,9/16/2019
US1NMSC0051,"SOCORRO 0.9 N, NM US",,,,0.39,,,,,,,,,,4/18/2019
US1NMSC0031,"MOUNTAINAIR 16.7 SW, NM US",,,,0.0,,,,,,,,,,5/13/2019
US1NMSC0050,"SOCORRO 22.7 SSE, NM US",,,,0.0,,,,,,,,,,4/6/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,0.0,0.0,0,,,,,,,,6/23/2019
US1NMSC0054,"SOCORRO 6.0 SSE, NM US",,,,0.0,,,,,,,,,,8/1/2019
US1NMSC0050,"SOCORRO 22.7 SSE, NM US",,,,0.0,,,,,,,,,,6/4/2019
US1NMSC0052,"SOCORRO 19.2 SSE, NM US",,,,0.0,,,,,,,,,,6/4/2019
US1NMSC0049,"SAN ANTONIO 0.7 SSW, NM US",,,,0.0,0.0,,,,,,,,,3/15/2019
US1NMSC0052,"SOCORRO 19.2 SSE, NM US",,,,0.0,,,,,,,,,,5/9/2019
US1NMSC0047,"SOCORRO 1.3 E, NM US",,,,0.0,0.0,,,,,,,,,9/11/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,78.0,33.0,75,,,,,4/20/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,0.0,0.0,0,80.0,46.0,78,,,,,5/4/2019
US1NMSC0054,"SOCORRO 6.0 SSE, NM US",,,,0.0,,,,,,,,,,6/25/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,96.0,57.0,77,,,,,7/23/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,0.0,0.0,0,70.0,47.0,56,,,,,5/20/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,,,0,,,,,,,,4/10/2019
USC00291138,"BOSQUE DEL APACHE, NM US",,,,0.0,0.0,0,58.0,30.0,31,,,,,3/14/2019
US1NMSC0014,"SOCORRO 9.9 SSE, NM US",,,,0.0,,,,,,,,,,7/28/2019
USC00291138,"BOSQUE DEL APACHE, NM US",,,,0.0,0.0,0,72.0,32.0,33,,,,,3/24/2019
US1NMSC0051,"SOCORRO 0.9 N, NM US",,,,0.0,0.0,,,,,,,,,4/14/2019
US1NMSC0047,"SOCORRO 1.3 E, NM US",,,,0.21,,,,,,,,,,8/10/2019
USC00298387,"SOCORRO, NM US",,,,0.0,0.0,0,99.0,59.0,70,,,,,8/31/2019
USC00298387,"SOCORRO, NM US",,,,,0.0,0,,,,,,,,6/2/2019
US1NMSC0029,"SOCORRO 0.4 NE, NM US",,,,0.0,0.0,,,,,,,,,4/12/2019
US1NMSC0029,"SOCORRO 0.4 NE, NM US",,,,0.0,0.0,,,,,,,,,6/1/2019
US1NMSC0031,"MOUNTAINAIR 16.7 SW, NM US",,,,0.0,0.0,,,,,,,,,8/17/2019
USC00298387,"SOCORRO, NM US",,,,0.0,0.0,0,83.0,66.0,70,,,,,8/13/2019
US1NMSC0031,"MOUNTAINAIR 16.7 SW, NM US",,,,0.1,,,,,,,,,,2/15/2019
US1NMSC0047,"SOCORRO 1.3 E, NM US",,,,0.06,,,,,,,,,,8/7/2019
US1NMSC0014,"SOCORRO 9.9 SSE, NM US",,,,0.0,0.0,,,,,,,,,5/7/2019
US1NMSC0046,"SAN ANTONIO 7.4 ESE, NM US",,,,0.0,,,,,,,,,,1/27/2019
US1NMSC0050,"SOCORRO 22.7 SSE, NM US",,,,0.0,,,,,,,,,,4/30/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.25,2.0,2,54.0,23.0,52,,,,,4/1/2019
US1NMSC0031,"MOUNTAINAIR 16.7 SW, NM US",,,,0.12,,,,,,,,,,8/4/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,,,0,,,,,,,,4/28/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,0.0,0.0,0,94.0,,87,,,,,7/13/2019
US1NMSC0029,"SOCORRO 0.4 NE, NM US",,,,0.0,0.0,,,,,,,,,7/5/2019
US1NMSC0049,"SAN ANTONIO 0.7 SSW, NM US",,,,0.0,0.0,,,,,,,,,4/24/2019
US1NMSC0031,"MOUNTAINAIR 16.7 SW, NM US",,,,0.0,0.0,,,,,,,,,5/22/2019
US1NMSC0047,"SOCORRO 1.3 E, NM US",,,,0.0,0.0,,,,,,,,,4/13/2019
USC00291138,"BOSQUE DEL APACHE, NM US",,,,0.0,0.0,0,107.0,61.0,65,,,,,7/20/2019
US1NMSC0054,"SOCORRO 6.0 SSE, NM US",,,,0.0,,,,,,,,,,3/10/2019
US1NMSC0029,"SOCORRO 0.4 NE, NM US",,,,0.0,0.0,,,,,,,,,7/4/2019
US1NMSC0014,"SOCORRO 9.9 SSE, NM US",,,,0.0,0.0,,,,,,,,,5/5/2019
USC00293649,"GRAN QUIVIRA NATIONAL MON, NM US",,,,0.0,0.0,0,59.0,42.0,57,,,,,2/15/2019
US1NMSC0046,"SAN ANTONIO 7.4 ESE, NM US",,,,0.0,,,,,,,,,,8/15/2019
USC00290983,"BINGHAM 2 NE, NM US",,,,0.0,0.0,0,80.0,44.0,78,,,,,5/5/2019
US1NMSC0052,"SOCORRO 19.2 SSE, NM US",,,,0.21,,,,,,,,,,8/31/2019
US1NMSC0047,"SOCORRO 1.3 E, NM US",,,,0.0,0.0,,,,,,,,,9/4/2019
US1NMSC0047,"SOCORRO 1.3 E, NM US",,,,0.0,0.0,,,,,,,,,3/25/2019
US1NMSC0047,"SOCORRO 1.3 E, NM US",,,,0.0,0.0,,,,,,,,,6/21/2019
US1NMSC0046,"SAN ANTONIO 7.4 ESE, NM US",,,,0.0,,,,,,,,,,2/16/2019
US1NMSC0050,"SOCORRO 22.7 SSE, NM US",,,,0.22,,,,,,,,,,1/10/2019
US1NMSC0047,"SOCORRO 1.3 E, NM US",,,,0.0,0.0,,,,,,,,,5/27/2019
US1NMSC0029,"SOCORRO 0.4 NE, NM US",,,,0.41,,,,,,,,,,8/8/2019
USC00298387,"SOCORRO, NM US",,0,,0.0,0.0,0,70.0,29.0,38,,,,,2/27/2019
US1NMSC0031,"MOUNTAINAIR 16.7 SW, NM US",,,,0.0,0.0,,,,,,,,,5/24/2019
